"","Name","Label","Country_specific","Scale_type","Type","Format","Valid","Invalid","Question","Group"
"149","dscrntn","Discrimination of respondent's group: nationality","no","binary","discrete","numeric-1.0",44387,0,"C19 On what grounds is your group discriminated against? Nationality","Group Subjective well-being, social exclusion, religion, national and ethnic identity"
"150","dscrrlg","Discrimination of respondent's group: religion","no","binary","discrete","numeric-1.0",44387,0,"C19 On what grounds is your group discriminated against? Religion","Group Subjective well-being, social exclusion, religion, national and ethnic identity"
"151","dscrlng","Discrimination of respondent's group: language","no","binary","discrete","numeric-1.0",44387,0,"C19 On what grounds is your group discriminated against? Language","Group Subjective well-being, social exclusion, religion, national and ethnic identity"
"152","dscretn","Discrimination of respondent's group: ethnic group","no","binary","discrete","numeric-1.0",44387,0,"C19 On what grounds is your group discriminated against? Ethnic group","Group Subjective well-being, social exclusion, religion, national and ethnic identity"
"153","dscrage","Discrimination of respondent's group: age","no","binary","discrete","numeric-1.0",44387,0,"C19 On what grounds is your group discriminated against? Age","Group Subjective well-being, social exclusion, religion, national and ethnic identity"
"154","dscrgnd","Discrimination of respondent's group: gender","no","binary","discrete","numeric-1.0",44387,0,"C19 On what grounds is your group discriminated against? Gender","Group Subjective well-being, social exclusion, religion, national and ethnic identity"
"155","dscrsex","Discrimination of respondent's group: sexuality","no","binary","discrete","numeric-1.0",44387,0,"C19 On what grounds is your group discriminated against? Sexuality","Group Subjective well-being, social exclusion, religion, national and ethnic identity"
"156","dscrdsb","Discrimination of respondent's group: disability","no","binary","discrete","numeric-1.0",44387,0,"C19 On what grounds is your group discriminated against? Disability","Group Subjective well-being, social exclusion, religion, national and ethnic identity"
"157","dscroth","Discrimination of respondent's group: other grounds","no","binary","discrete","numeric-1.0",44387,0,"C19 On what grounds is your group discriminated against? Other","Group Subjective well-being, social exclusion, religion, national and ethnic identity"
"158","dscrdk","Discrimination of respondent's group: don't know","no","binary","discrete","numeric-1.0",44387,0,"C19 On what grounds is your group discriminated against? Don't know","Group Subjective well-being, social exclusion, religion, national and ethnic identity"
"159","dscrref","Discrimination of respondent's group: refusal","no","binary","discrete","numeric-1.0",44387,0,"C19 On what grounds is your group discriminated against? Refusal","Group Subjective well-being, social exclusion, religion, national and ethnic identity"
"160","dscrnap","Discrimination of respondent's group: not applicable","no","binary","discrete","numeric-1.0",44387,0,"C19 On what grounds is your group discriminated against? Not applicable","Group Subjective well-being, social exclusion, religion, national and ethnic identity"
"161","dscrna","Discrimination of respondent's group: no answer","no","binary","discrete","numeric-1.0",44387,0,"C19 On what grounds is your group discriminated against? No answer","Group Subjective well-being, social exclusion, religion, national and ethnic identity"
"162","ctzcntr","Citizen of country","no","binary","discrete","numeric-1.0",44366,21,"C20 Are you a citizen of [country]?","Group Subjective well-being, social exclusion, religion, national and ethnic identity"
"163","ctzshipc","Citizenship","no","nominal","discrete","character-2",1786,42601,"C21 What citizenship do you hold?","Group Subjective well-being, social exclusion, religion, national and ethnic identity"
"164","brncntr","Born in country","no","binary","discrete","numeric-1.0",44370,17,"C22 Were you born in [country]?","Group Subjective well-being, social exclusion, religion, national and ethnic identity"
"165","cntbrthc","Country of birth","no","nominal","discrete","character-2",4270,40117,"C23 In which country were you born?","Group Subjective well-being, social exclusion, religion, national and ethnic identity"
"166","livecnta","What year you first came to live in country","no","continuous","continuous","numeric-4.0",4454,39933,"C24 What year did you first come to live in [country]?","Group Subjective well-being, social exclusion, religion, national and ethnic identity"
"167","lnghom1","Language most often spoken at home: first mentioned","no","nominal","discrete","character-3",44125,262,"C25 What language or languages do you speak most often at home? Language 1","Group Subjective well-being, social exclusion, religion, national and ethnic identity"
"168","lnghom2","Language most often spoken at home: second mentioned","no","nominal","discrete","character-3",6499,37888,"C25 What language or languages do you speak most often at home? Language 2","Group Subjective well-being, social exclusion, religion, national and ethnic identity"
"169","blgetmg","Belong to minority ethnic group in country","no","binary","discrete","numeric-1.0",43946,441,"C26 Do you belong to a minority ethnic group in [country]?","Group Subjective well-being, social exclusion, religion, national and ethnic identity"
"170","facntr","Father born in country","no","binary","discrete","numeric-1.0",44150,237,"C27 Was your father born in [country]?","Group Subjective well-being, social exclusion, religion, national and ethnic identity"
"171","fbrncntb","Country of birth, father","no","nominal","discrete","character-2",6540,37847,"C28 In which country was your father born?","Group Subjective well-being, social exclusion, religion, national and ethnic identity"
"172","mocntr","Mother born in country","no","binary","discrete","numeric-1.0",44282,105,"C29 Was your mother born in [country]?","Group Subjective well-being, social exclusion, religion, national and ethnic identity"
"173","mbrncntb","Country of birth, mother","no","nominal","discrete","character-2",6272,38115,"C30 In which country was your mother born?","Group Subjective well-being, social exclusion, religion, national and ethnic identity"
"174","gvrfgap","Government should be generous judging
applications for refugee status","no","ordinal","discrete","numeric-1.0",43113,1274,"gvrfgap? ","Group Subjective well-being, social exclusion, religion, national and ethnic identity"
"175","rfgfrpc","Most refugee applicants not in real fear of persecution own countries","no","ordinal","discrete","numeric-1.0",39191,5196,"rfgfrpc? ","Group Subjective well-being, social exclusion, religion, national and ethnic identity"
"176","rfgbfml","Granted refugees should be entitled to bring close family members","no","ordinal","discrete","numeric-1.0",41401,2986,"rfgbfml? ","Group Subjective well-being, social exclusion, religion, national and ethnic identity"
"177","eneffap","How likely to buy most energy efficient home appliance","no","ordinal","discrete","numeric-2.0",43276,1111,"D1 If you were to buy a large electrical appliance for your home, how likely is it that you would buy one of the most energy efficient ones?","Group Climate change"
"178","rdcenr","How often do things to reduce energy use","no","ordinal","discrete","numeric-2.0",44069,318,"D2 There are some things that can be done to reduce energy use, such as switching off appliances that are not being used, walking for short
journeys, or only using the heating or air conditioning when really needed. In your daily life, how often do you do things to reduce your energy use?","Group Climate change"
"179","cflsenr","How confident you could use less energy than now","no","ordinal","discrete","numeric-2.0",43435,952,"D3 Overall, how confident are you that you could use less energy than you do now?","Group Climate change"
"180","elgcoal","How much electricity in [country] should be generated from coal","no","ordinal","discrete","numeric-2.0",41092,3295,"elgcoal? ","Group Climate change"
"181","elgngas","How much electricity in [country] should be
generated from natural gas","no","ordinal","discrete","numeric-2.0",41358,3029,"D4-10 The highlighted box at the top of this card shows a number of energy sources that can be used to generate
electricity. Please take a moment to look over them. How much of the electricity used in [country] should be generated from each energy source? And how about natural gas?","Group Climate change"
"182","elghydr","How much electricity in [country] should be
generated from hydroelectric power","no","ordinal","discrete","numeric-2.0",42147,2240,"elghydr? ","Group Climate change"
"183","elgnuc","How much electricity in [country] should be generated from nuclear power","no","ordinal","discrete","numeric-2.0",41464,2923,"elgnuc? ","Group Climate change"
"184","elgsun","How much electricity in [country] should be
generated from solar power","no","ordinal","discrete","numeric-2.0",42724,1663,"D4-10 The highlighted box at the top of this card shows a number of energy sources that can be used to generate
electricity. Please take a moment to look
over them. How much of the electricity used in [country] should be generated
from each energy source? And how about sun or solar power?","Group Climate change"
"185","elgwind","How much electricity in [country] should be
generated from wind power","no","ordinal","discrete","numeric-2.0",42464,1923,"D4-10 The highlighted box at the top of this card shows a number of energy sources that can be used to generate
electricity. Please take a moment to look over them. How much of the electricity used in [country] should be generated from each energy source? And how about wind power?","Group Climate change"
"186","elgbio","How much electricity in [country] should be generated from biomass energy","no","ordinal","discrete","numeric-2.0",41223,3164,"elgbio? ","Group Climate change"
"187","wrpwrct","How worried, power cuts","no","ordinal","discrete","numeric-1.0",43945,442,"D11 How worried are you that there may be power cuts in [country]?","Group Climate change"
"188","wrenexp","How worried, energy too expensive for many people","no","ordinal","discrete","numeric-1.0",43955,432,"D12 How worried are you that energy may be too expensive for many people in [country]?","Group Climate change"
"189","wrdpimp","How worried, [country] too dependent on energy imports","no","ordinal","discrete","numeric-1.0",42932,1455,"D13 How worried are you about [country] being too dependent on energy imports from other countries?","Group Climate change"
"190","wrdpfos","How worried, [country] too dependent on fossil fuels","no","ordinal","discrete","numeric-1.0",42569,1818,"D14 How worried are you about [country] being too dependent on using energy generated by fossil fuels such as oil, gas and coal?","Group Climate change"
"191","wrntdis","How worried, energy supply interrupted by natural disasters or extreme weather","no","ordinal","discrete","numeric-1.0",43925,462,"D15-17 How worried are you that energy supplies could be
interrupted... ...by natural disasters or extreme weather?","Group Climate change"
"192","wrinspw","How worried, energy supply interrupted by insufficient power generated","no","ordinal","discrete","numeric-1.0",43675,712,"D15-17 How worried are you that energy supplies could be
interrupted? ...and by insufficient power being generated?","Group Climate change"
"193","wrtcfl","How worried, energy supply interrupted by technical failures","no","ordinal","discrete","numeric-1.0",43829,558,"D15-17 How worried are you that energy supplies could be
interrupted? ...and by technical failures?","Group Climate change"
"194","wrtratc","How worried, energy supply interrupted by terrorist attacks","no","ordinal","discrete","numeric-1.0",43686,701,"D18 And how worried are you that energy supplies could be interrupted by terrorist attacks?","Group Climate change"
"195","clmchng","Do you think world's climate is changing","no","ordinal","discrete","numeric-1.0",43289,1098,"D19 You may have heard the idea that the world's climate is changing due
to increases in temperature over the past 100 years. What is your personal opinion on this? Do you think the world's climate is changing?","Group Climate change"
"196","clmthgt1","How much thought about climate change before today","no","ordinal","discrete","numeric-1.0",966,43421,"D20 How much have you thought about climate change before today?","Group Climate change"
"197","clmthgt2","How much thought about climate change before today","no","ordinal","discrete","numeric-1.0",43163,1224,"D21 How much have you thought about climate change before today?","Group Climate change"
"198","ccnthum","Climate change caused by natural processes, human activity, or both","no","ordinal","discrete","numeric-2.0",42234,2153,"D22 Do you think that climate change is caused by natural processes, human activity, or both?","Group Climate change"
"199","ccrdprs","To what extent feel personal responsibility to reduce climate change","no","ordinal","discrete","numeric-2.0",41927,2460,"D23 To what extent do you feel a personal responsibility to try to reduce climate change?","Group Climate change"
"200","wrclmch","How worried about climate change","no","ordinal","discrete","numeric-1.0",42654,1733,"D24 How worried are you about climate change?","Group Climate change"
"201","ccgdbd","Climate change good or bad impact across world","no","ordinal","discrete","numeric-2.0",41232,3155,"D25 How good or bad do you think the impact of climate change will be on people across the world? Please choose a number from 0 to 10, where 0 is extremely bad and 10 is extremely good.","Group Climate change"
"202","lkredcc","Imagine large numbers of people limit energy use, how likely reduce climate change","no","ordinal","discrete","numeric-2.0",41132,3255,"D26 Now imagine that large numbers of people limited their energy use. How likely do you think it is that this would reduce climate change?","Group Climate change"
"203","lklmten","How likely, large numbers of people limit energy use","no","ordinal","discrete","numeric-2.0",41410,2977,"D27 How likely do you think it is that large numbers of people will limit their energy use to try to reduce climate change?","Group Climate change"
"204","gvsrdcc","How likely, governments enough countries take action to reduce climate change","no","ordinal","discrete","numeric-2.0",41078,3309,"D28 And how likely do you think it is that governments in enough countries will take action that reduces climate change?","Group Climate change"
"205","ownrdcc","How likely, limiting own energy use reduce climate change","no","ordinal","discrete","numeric-2.0",41654,2733,"D29 How likely do you think it is that limiting your own energy use would help reduce climate change?","Group Climate change"
"206","inctxff","Favour increase taxes on fossil fuels to reduce climate change","no","ordinal","discrete","numeric-1.0",42401,1986,"D30-32 To what extent are you in favour or against the following policies in [country] to reduce climate change?
Increasing taxes on fossil fuels, such as oil, gas and coal.","Group Climate change"
"207","sbsrnen","Favour subsidise renewable energy to reduce climate change","no","ordinal","discrete","numeric-1.0",42983,1404,"D30-32 To what extent are you in favour or against the following policies in [country] to reduce climate change?
Using public money to subsidise renewable energy such as wind and solar power.","Group Climate change"
"208","banhhap","Favour ban sale of least energy efficient household appliances to reduce climate change","no","ordinal","discrete","numeric-1.0",42699,1688,"D30-32 To what extent are you in favour or against the following policies in [country] to reduce climate change? A law banning the sale of the least energy efficient household appliances.","Group Climate change"
"209","dfincac","Large differences in income acceptable to reward talents and efforts","no","ordinal","discrete","numeric-1.0",43520,867,"E1-2 Using this card, please say how much you agree or disagree with each of the following statements.
Large differences in people's incomes are acceptable to properly reward differences in talents and efforts.","Group Welfare attitudes"
"210","smdfslv","For fair society, differences in standard of living should be small","no","ordinal","discrete","numeric-1.0",43591,796,"E1-2 Using this card, please say how much you agree or disagree with each of the following statements. For a society to be fair, differences in people's standard of living should be small.","Group Welfare attitudes"
"211","uemplwk","Of every 100 working age how many unemployed and looking for work","no","ordinal","discrete","numeric-2.0",41329,3058,"E3 Of every 100 people of working age in [country] how many would you say are unemployed and looking for work? Choose your answer from this card. If you are not sure please give your best
Guess.","Group Welfare attitudes"
"212","slvpens","Standard of living of pensioners","no","ordinal","discrete","numeric-2.0",43728,659,"E4 Using this card, what do you think overall about the standard of living of pensioners? Please tell me on a score of 0 to 10, where 0 means extremely bad and 10 means extremely good.","Group Welfare attitudes"
"213","slvuemp","Standard of living of unemployed","no","ordinal","discrete","numeric-2.0",43116,1271,"E5 What do you think overall about the standard of living of people who are unemployed?","Group Welfare attitudes"
"214","gvslvol","Standard of living for the old, governments' responsibility","no","ordinal","discrete","numeric-2.0",44125,262,"gvslvol? ","Group Welfare attitudes"
"215","gvslvue","Standard of living for the unemployed, governments' responsibility","no","ordinal","discrete","numeric-2.0",43838,549,"gvslvue? ","Group Welfare attitudes"
"216","gvcldcr","Child care services for working parents,
governments' responsibility","no","ordinal","discrete","numeric-2.0",43744,643,"gvcldcr? ","Group Welfare attitudes"
"217","sbstrec","Social benefits/services place too great strain on economy","no","ordinal","discrete","numeric-1.0",42224,2163,"E9-12 Using this card please tell me to what extent you agree or disagree that social benefits and services in
[country]... ....place too great a strain on the economy?","Group Welfare attitudes"
"218","sbprvpv","Social benefits/services prevent widespread poverty","no","ordinal","discrete","numeric-1.0",43047,1340,"E9-12 Using this card please tell me to what extent you agree or disagree that social benefits and services in [country]... ....prevent widespread poverty?","Group Welfare attitudes"
"219","sbeqsoc","Social benefits/services lead to a more equal society","no","ordinal","discrete","numeric-1.0",42894,1493,"E9-12 Using this card please tell me to what extent you agree or disagree that social benefits and services in [country]... ....lead to a more equal society?","Group Welfare attitudes"
"220","sbbsntx","Social benefits/services cost businesses too much in taxes/ charges","no","ordinal","discrete","numeric-1.0",41063,3324,"E9-12 Using this card please tell me to what extent you agree or disagree that social benefits and services in
[country]... ....cost businesses too much in taxes and charges?","Group Welfare attitudes"
"221","sblazy","Social benefits/services make people lazy","no","ordinal","discrete","numeric-1.0",43356,1031,"E13-14 And to what extent do you agree or disagree that social benefits and services in [country]... ....make people lazy?","Group Welfare attitudes"
"222","sblwcoa","Social benefits/services make people less willing care for one another","no","ordinal","discrete","numeric-1.0",42841,1546,"E13-14 And to what extent do you agree or disagree that social benefits and services in [country]... ....make people less willing to care for one another?","Group Welfare attitudes"
"223","imsclbn","When should immigrants obtain rights to social benefits/services","no","ordinal","discrete","numeric-1.0",42403,1984,"E15 Thinking of people coming to live in [country] from other countries, when do you think they should obtain the same rights to social benefits and
services as citizens already living here? Please choose the option on this card that comes closest to your view.","Group Welfare attitudes"
"224","uentrjb","Most unemployed people do not really try to find a job","no","ordinal","discrete","numeric-1.0",43313,1074,"E16-18 Using this card, please say how much you agree or disagree with each of the following statements about people in [country]. Most unemployed people do not really try to find a job.","Group Welfare attitudes"
"225","lbenent","Many with very low incomes get less benefit than legally entitled to","no","ordinal","discrete","numeric-1.0",39740,4647,"E16-18 Using this card, please say how much you agree or disagree with each of the following statements about people in [country]. Many people with very low incomes get less benefit than they are legally entitled to.","Group Welfare attitudes"
"226","bennent","Many manage to obtain benefits/services not entitled to","no","ordinal","discrete","numeric-1.0",41485,2902,"E16-18 Using this card, please say how much you agree or disagree with each of the following statements about people  in [country]. Many people manage to obtain benefits and services to which they are not entitled.","Group Welfare attitudes"
"227","admub","Administration of unemployment benefits questions","no","ordinal","discrete","numeric-1.0",44368,19,"E20 If automated random allocation not used: Interviewer code: interviewer refer to month of respondent birthday and code.","Group Welfare attitudes"
"228","ubpay","Unemployment benefit if turn down job: less pay","no","ordinal","discrete","numeric-1.0",10712,33675,"ubpay? ","Group Welfare attitudes"
"229","ubedu","Unemployment benefit if turn down job: lower level of education","no","ordinal","discrete","numeric-1.0",10668,33719,"ubedu? ","Group Welfare attitudes"
"230","ubunp","Unemployment benefit if turn down job: refuse unpaid work","no","ordinal","discrete","numeric-1.0",10427,33960,"ubunp? ","Group Welfare attitudes"
"231","ub50pay","Someone in their 50s, unemployment benefit if turn down job: less pay","no","ordinal","discrete","numeric-1.0",10256,34131,"ub50pay? ","Group Welfare attitudes"
"232","ub50edu","Someone In their 50s, unemployment benefit if turn down job: lower level of education","no","ordinal","discrete","numeric-1.0",10198,34189,"ub50edu? ","Group Welfare attitudes"
"233","ub50unp","Someone in their 50s, unemployment benefit if turn down job: refuse unpaid work","no","ordinal","discrete","numeric-1.0",10002,34385,"ub50unp? ","Group Welfare attitudes"
"234","ub20pay","Someone aged 20-25, unemployment benefit if turn down job: less pay","no","ordinal","discrete","numeric-1.0",10572,33815,"ub20pay? ","Group Welfare attitudes"
"235","ub20edu","Someone aged 20-25, unemployment benefit if turn down job: lower level of education","no","ordinal","discrete","numeric-1.0",10509,33878,"ub20edu? ","Group Welfare attitudes"
"236","ub20unp","Someone aged 20-25, unemployment benefit if turn down job: refuse unpaid work","no","ordinal","discrete","numeric-1.0",10304,34083,"ub20unp? ","Group Welfare attitudes"
"237","ubsppay","Single parent to 3-year-old, unemployment benefit if turn down job: less pay","no","ordinal","discrete","numeric-1.0",10480,33907,"ubsppay? ","Group Welfare attitudes"
"238","ubspedu","Single parent to 3-year-old, unemployment benefit if turn down job: lower level of education","no","ordinal","discrete","numeric-1.0",10403,33984,"ubspedu? ","Group Welfare attitudes"
"239","ubspunp","Single parent to 3-year-old, unemployment benefit if turn down job: refuse unpaid work","no","ordinal","discrete","numeric-1.0",10252,34135,"ubspunp? ","Group Welfare attitudes"
"240","bnlwinc","Social benefits only for people with lowest incomes","no","ordinal","discrete","numeric-1.0",41825,2562,"E33 Would you be against or in favour of the government providing social benefits and services only for people with the lowest incomes, while people with middle and higher incomes are responsible for themselves?","Group Welfare attitudes"
"241","eduunmp","Spend more on education for unemployed at cost of unemployment benefit","no","ordinal","discrete","numeric-1.0",41169,3218,"E34 Now imagine there is a fixed amount of money that can be spent on tackling unemployment. Would you be against or in favour of the government spending more on education and training programs for the unemployed at the cost of reducing unemployment benefit?","Group Welfare attitudes"
"242","wrkprbf","Benefits for parents to combine work and family even if means higher taxes","no","ordinal","discrete","numeric-1.0",40868,3519,"E35 Would you be against or in favour of the government introducing extra social benefits and services to make it easier for working parents to combine work and family life even if it means much higher taxes for all?","Group Welfare attitudes"
"243","basinc","Against or In favour of a basic income scheme","no","ordinal","discrete","numeric-1.0",40592,3795,"basinc? ","Group Welfare attitudes"
"244","eusclbf","Against or In favour of European Union-wide social benefit scheme","no","ordinal","discrete","numeric-1.0",32587,11800,"eusclbf? ","Group Welfare attitudes"
"245","eudcnbf","More decisions made by EU: level of benefits in [country] become higher or lower","no","ordinal","discrete","numeric-1.0",31764,12623,"E38 If more decisions were made by the European Union rather than by national governments, do you think the level of social benefits and services provided
in [country] would become higher or lower?","Group Welfare attitudes"
"246","lkuemp","How likely unemployed and looking for work next 12 months","no","ordinal","discrete","numeric-2.0",43080,1307,"E39 Using this card, please tell me how likely it is that during the next 12 months you will be unemployed and looking for work for at least four consecutive weeks?","Group Welfare attitudes"
"247","lknemny","How likely not enough money for household necessities next 12 months","no","ordinal","discrete","numeric-1.0",40612,3775,"E40 And during the next 12 months how likely is it that there will be some periods when you don't have
enough money to cover your household necessities?","Group Welfare attitudes"
"248","vteurmmb","Would vote for [country] to remain member of European Union or leave","no","binary","discrete","numeric-2.0",29568,14819,"E41 Imagine there were a referendum in [country] tomorrow about membership of the European Union. Would you
vote for [country] to remain a member of the European Union or to leave the European Union?","Group Welfare attitudes"
"249","vteumbgb","Would vote for [country] to remain member of European Union or leave, United Kingdom","no","binary","discrete","numeric-2.0",1863,42524,"E41GB If there were to be a new referendum tomorrow, would you vote for the UK to remain a member of the European Union or leave the European Union? (United Kingdom)","Group Welfare attitudes"
"250","vteubcmb","Would vote for [country] to become member of European Union or remain outside","no","binary","discrete","numeric-2.0",7787,36600,"E42 Imagine there were a referendum in [country] tomorrow about membership of the European Union. Would you vote for [country] to become a member of the European Union or to remain outside the European Union?","Group Welfare attitudes"
"251","hhmmb","Number of people living regularly as member of household","no","ordinal","continuous","numeric-2.0",44263,124,"F1 Including yourself, how many people
- including children - live here regularly as members of this household?","Group Gender, Year of birth and Household grid"
"252","gndr","Gender","no","nominal","discrete","numeric-1.0",44378,9,"F21 CODE SEX, respondent","Group Gender, Year of birth and Household grid"
"253","gndr2","Gender of second person in household","no","nominal","discrete","numeric-1.0",34729,9658,"F22 CODE SEX (2. person in household)","Group Gender, Year of birth and Household grid"
"254","gndr3","Gender of third person in household","no","nominal","discrete","numeric-1.0",19332,25055,"F23 CODE SEX (3. person in household)","Group Gender, Year of birth and Household grid"
"255","gndr4","Gender of fourth person in household","no","nominal","discrete","numeric-1.0",11217,33170,"F24 CODE SEX (4. person in household)","Group Gender, Year of birth and Household grid"
"256","gndr5","Gender of fifth person in household","no","nominal","discrete","numeric-1.0",4028,40359,"F25 CODE SEX (5. person in household)","Group Gender, Year of birth and Household grid"
"257","gndr6","Gender of sixth person in household","no","nominal","discrete","numeric-1.0",1358,43029,"F26 CODE SEX (6. person in household)","Group Gender, Year of birth and Household grid"
"258","gndr7","Gender of seventh person in household","no","nominal","discrete","numeric-1.0",466,43921,"F27 CODE SEX (7. person in household)","Group Gender, Year of birth and Household grid"
"259","gndr8","Gender of eighth person in household","no","nominal","discrete","numeric-1.0",165,44222,"F28 CODE SEX (8. person in household)","Group Gender, Year of birth and Household grid"
"260","gndr9","Gender of ninth person in household","no","nominal","discrete","numeric-1.0",68,44319,"F29 CODE SEX (9. person in household)","Group Gender, Year of birth and Household grid"
"261","gndr10","Gender of tenth person in household","no","nominal","discrete","numeric-1.0",33,44354,"F210 CODE SEX (10. person in household)","Group Gender, Year of birth and Household grid"
"262","gndr11","Gender of eleventh person in household","no","nominal","discrete","numeric-1.0",10,44377,"F211 CODE SEX (11. person in household)","Group Gender, Year of birth and Household grid"
"263","gndr12","Gender of twelfth person in household","no","nominal","discrete","numeric-1.0",5,44382,"F212 CODE SEX (12. person in household)","Group Gender, Year of birth and Household grid"
"264","agea","Age of respondent, calculated","no","continuous","continuous","numeric-4.0",44232,155,"F31b Age of respondent, calculated","Group Gender, Year of birth and Household grid"
"265","yrbrn","Year of birth","no","continuous","continuous","numeric-4.0",44232,155,"F31a And in what year were you born?","Group Gender, Year of birth and Household grid"
"266","yrbrn2","Year of birth of second person in household","no","continuous","continuous","numeric-4.0",34195,10192,"F32 And in what year was he/she born? (2. person in household)","Group Gender, Year of birth and Household grid"
"267","yrbrn3","Year of birth of third person in household","no","continuous","continuous","numeric-4.0",18994,25393,"F33 And in what year was he/she born? (3. person in household)","Group Gender, Year of birth and Household grid"
"268","yrbrn4","Year of birth of fourth person in household","no","continuous","continuous","numeric-4.0",11051,33336,"F34 And in what year was he/she born? (4. person in household)","Group Gender, Year of birth and Household grid"
"269","yrbrn5","Year of birth of fifth person in household","no","continuous","continuous","numeric-4.0",3956,40431,"F35 And in what year was he/she born? (5.person in household)","Group Gender, Year of birth and Household grid"
"270","yrbrn6","Year of birth of sixth person in household","no","continuous","continuous","numeric-4.0",1322,43065,"F36 And in what year was he/she born? (6. person in household)","Group Gender, Year of birth and Household grid"
"271","yrbrn7","Year of birth of seventh person in household","no","continuous","continuous","numeric-4.0",445,43942,"F37 And in what year was he/she born? (7. person in household)","Group Gender, Year of birth and Household grid"
"272","yrbrn8","Year of birth of eighth person in household","no","continuous","continuous","numeric-4.0",154,44233,"F38 And in what year was he/she born? (8. person in household)","Group Gender, Year of birth and Household grid"
"273","yrbrn9","Year of birth of ninth person in household","no","continuous","continuous","numeric-4.0",59,44328,"F39 And in what year was he/she born? (9. person in household)","Group Gender, Year of birth and Household grid"
"274","yrbrn10","Year of birth of tenth person in household","no","continuous","continuous","numeric-4.0",28,44359,"F310 And in what year was he/she born? (10. person in household)","Group Gender, Year of birth and Household grid"
"275","yrbrn11","Year of birth of eleventh person in household","no","continuous","continuous","numeric-4.0",9,44378,"F311 And in what year was he/she born? (11. person in household)","Group Gender, Year of birth and Household grid"
"276","yrbrn12","Year of birth of twelfth person in household","no","continuous","continuous","numeric-4.0",5,44382,"F312 And in what year was he/she born? (12. person in household)","Group Gender, Year of birth and Household grid"
"277","rshipa2","Second person in household: relationship to respondent","no","nominal","discrete","numeric-2.0",34688,9699,"F42 Looking at this card, what relationship is he/she to you? (2. person in household)","Group Gender, Year of birth and Household grid"
"278","rshipa3","Third person in household: relationship to respondent","no","nominal","discrete","numeric-2.0",19350,25037,"F43 Looking at this card, what relationship is he/she to you? (3. person in household)","Group Gender, Year of birth and Household grid"
"279","rshipa4","Fourth person in household: relationship to respondent","no","nominal","discrete","numeric-2.0",11257,33130,"F44 Looking at this card, what relationship is he/she to you? (4. person in household)","Group Gender, Year of birth and Household grid"
"280","rshipa5","Fifth person in household: relationship to respondent","no","nominal","discrete","numeric-2.0",4051,40336,"F45 Looking at this card, what relationship is he/she to you? (5. person in household)","Group Gender, Year of birth and Household grid"
"281","rshipa6","Sixth person in household: relationship to respondent","no","nominal","discrete","numeric-2.0",1374,43013,"F46 Looking at this card, what relationship is he/she to you? (6. person in household)","Group Gender, Year of birth and Household grid"
"282","rshipa7","Seventh person in household: relationship to respondent","no","nominal","discrete","numeric-2.0",473,43914,"F47 Looking at this card, what relationship is he/she to you? (7. person in household)","Group Gender, Year of birth and Household grid"
"283","rshipa8","Eighth person in household: relationship to respondent","no","nominal","discrete","numeric-2.0",169,44218,"F48 Looking at this card, what relationship is he/she to you? (8. person in household)","Group Gender, Year of birth and Household grid"
"284","rshipa9","Ninth person in household: relationship to respondent","no","nominal","discrete","numeric-2.0",69,44318,"F49 Looking at this card, what relationship is he/she to you? (9. person in household)","Group Gender, Year of birth and Household grid"
"285","rshipa10","Tenth person in household: relationship to respondent","no","nominal","discrete","numeric-2.0",34,44353,"F410 Looking at this card, what relationship is he/she to you? (10. person in household)","Group Gender, Year of birth and Household grid"
"286","rshipa11","Eleventh person in household: relationship to respondent","no","nominal","discrete","numeric-2.0",10,44377,"F411 Looking at this card, what relationship is he/she to you? (11. person in household)","Group Gender, Year of birth and Household grid"
"287","rshipa12","Twelfth person in household: relationship to respondent","no","nominal","discrete","numeric-2.0",5,44382,"F412 Looking at this card, what relationship is he/she to you? (12. person in household)","Group Gender, Year of birth and Household grid"
"288","icpart1","Interviewer code, lives with husband/wife/partner","no","nominal","discrete","numeric-1.0",44210,177,"F5 INTERVIEWER REFER TO HOUSEHOLD GRID AND CODE:","Group Socio-demographics"
"289","rshpsts","Relationship with husband/ wife/partner currently living with","no","nominal","discrete","numeric-2.0",25886,18501,"F6 You just told me that you live with your husband/wife/partner. Which one of the descriptions on this card describes your relationship to them?","Group Socio-demographics"
"290","rshpsfi","Relationship with husband/ wife/partner currently living with, Finland","yes","nominal","discrete","numeric-2.0",1186,43201,"F6FI You just told me that you live with your husband/wife/partner. Which one of the descriptions on this card describes your relationship to them? (Finland)","Group Socio-demographics"
"291","rshpsgb","Relationship with husband/ wife/partner currently living with, United Kingdom","yes","nominal","discrete","numeric-2.0",985,43402,"F6GB You just told me that you live with your husband/wife/partner. Which one of the descriptions on this card describes your relationship to them? (United Kingdom)","Group Socio-demographics"
"292","lvgptnea","Ever lived with a partner, without being married","no","binary","discrete","numeric-1.0",39362,5025,"F7 And can I just check have you ever lived with a partner, without being married to them (or in a civil union)?","Group Socio-demographics"
"293","dvrcdeva","Ever been divorced/had civil union dissolved","no","binary","discrete","numeric-1.0",44127,260,"F8 Can I just check have you ever been divorced or had a civil union dissolved?","Group Socio-demographics"
"294","icpart2","Interviewer code, lives with husband/wife/partner","no","nominal","discrete","numeric-1.0",44210,177,"F9 INTERVIEWER CODE:","Group Socio-demographics"
